county,city,state,zipCode,georeference,streetName,streetNumber
Wayne,WILLIAMSON,NY,14589,POINT (-77.19454 43.23266),RT 104 PO BOX 181,3906
Kings,BROOKLYN,NY,11231,POINT (-73.9993 40.67315),HAMILTON AVE,375
Rockland,PEARL RIVER,NY,10965,POINT (-74.02156 41.06017),N MAIN ST,27
Monroe,WEBSTER,NY,14580,POINT (-77.5073 43.18276),PLANK RD,480
Kings,BROOKLYN,NY,11201,POINT (-73.99367 40.69004),ATLANTIC AVE,174
Suffolk,COMMACK,NY,11725,POINT (-73.28355 40.84025),VETERANS MEMORIAL HWY,120
Queens,ASTORIA,NY,11102,POINT (-73.92165 40.76701),30TH AVE,30-21
Bronx,BRONX,NY,10453,POINT (-73.90457 40.85731),JEROME AVE,2207
Bronx,BRONX,NY,10453,POINT (-73.90765 40.85087),E TREMONT AVE,66
Kings,BROOKLYN,NY,11215,POINT (-73.9855 40.67014),5TH AVE,409
Kings,BROOKLYN,NY,11207,POINT (-73.89972 40.6687),SUTTER AVENUE,516
Kings,BROOKLYN,NY,11222,POINT (-73.94129 40.72347),KINGSLAND AVE,194
Kings,BROOKLYN,NY,11214,POINT (-74.00416 40.60582),18TH AVE,8671
Suffolk,HAMPTON BAYS,NY,11946,POINT (-72.52569 40.8775),W MONTAUK HWY,53
Queens,FLUSHING,NY,11354,POINT (-73.82992 40.75963),ROOSEVELT AVE,1364
Oswego,FULTON,NY,13069,POINT (-76.41719 43.31456),W 1ST ST S,368
Bronx,BRONX,NY,10457,POINT (-73.90865 40.84479),E 174TH ST,180
Queens,JAMAICA,NY,11432,POINT (-73.80649 40.7122),PARSONS BLVD,84-77
Richmond,STATEN ISLAND,NY,10303,POINT (-74.17154 40.64047),RICHMOND TER,3400
Queens,CORONA,NY,11368,POINT (-73.85842 40.75012),108TH STREET,40-20
Queens,ELMHURST,NY,11373,POINT (-73.88494 40.74389),BROADWAY,80-03
Suffolk,PORT JEFFERSON,NY,11777,POINT (-73.06886 40.94614),MAIN ST PO BOX J-H DAMIANOS,117
Saratoga,BALLSTON SPA,NY,12020,POINT (-73.84945 43.00778),MILTON AVE,253
Bronx,BRONX,NY,10460,POINT (-73.88413 40.84197),E. TREMONT AVE.,900
Nassau,POINT LOOKOUT,NY,11569,POINT (-73.58349 40.59211),LIDO BLVD,12
Niagara,NIAGARA FALLS,NY,14304,POINT (-78.97063 43.09036),MILITARY RD,1306
Wayne,NEWARK,NY,14513,POINT (-77.09604 43.03943),S MAIN ST  3333,703
Queens,LONG ISLAND CITY,NY,11105,POINT (-73.93149 40.75446),31ST STREET,22-58
New York,NEW YORK,NY,10040,POINT (-73.92538 40.86258),DYCKMAN ST,130
Kings,BROOKLYN,NY,11234,POINT (-73.92616 40.61899),AVENUE N,5017
Queens,JAMAICA,NY,11435,POINT (-73.80781 40.70091),SUTPHIN BLVD,91-08
New York,NEW YORK,NY,10037,POINT (-73.93921 40.81648),LENOX AVENUE,561
Queens,JAMAICA,NY,11435,POINT (-73.80951 40.70537),SUTPHIN BLVD,8768
Monroe,ROCHESTER,NY,14609,POINT (-77.58125 43.17097),BAY STREET,469
Richmond,STATEN ISLAND,NY,10312,POINT (-74.16395 40.52829),HYLAN BLVD,4727
Richmond,STATEN ISLAND,NY,10304,POINT (-74.08043 40.62433),BROAD STREET,171
Nassau,NEW HYDE PARK,NY,11040,POINT (-73.66398 40.74057),JERICHO TNPK,2282
Oneida,BOONVILLE,NY,13309,POINT (-75.32671 43.4797),PARK AVE,106
Suffolk,WEST BABYLON,NY,11704,POINT (-73.35926 40.72339),LITTLE EAST NECK RD N,1012
Kings,BROOKLYN,NY,11214,POINT (-73.99517 40.60754),20TH AVENUE,8022
Queens,SAINT ALBANS,NY,11412,POINT (-73.75069 40.69489),LINDEN BLVD,201-15
Erie,BUFFALO,NY,14214,POINT (-78.84978 42.92765),KENSINGTON AVE,45
Nassau,MASSAPEQUA PARK,NY,11762,POINT (-73.44696 40.66632),MERRICK RD,5125
Oswego,PHOENIX,NY,13135,POINT (-76.28525 43.2166),COUNTY RTE 57,219
Richmond,STATEN ISLAND,NY,10305,POINT (-74.06822 40.59747),MCCLEAN AVE,183A
Nassau,NEW HYDE PARK,NY,11042,POINT (-73.68841 40.75518),NEW HYDE PARK RD,2201
Kings,BROOKLYN,NY,11231,POINT (-74.01009 40.67515),DWIGHT STREET,129
Oneida,SHERRILL,NY,13461,POINT (-75.59834 43.07603),W SENECA ST PO BOX 6,566
Hamilton,LONG LAKE,NY,12847,POINT (-74.41805 43.96859),RT 28N,8589
St. Lawrence,WADDINGTON,NY,13694,POINT (-75.21744 44.8572),NY RTE 37,11997
Queens,RICHMOND HILL,NY,11418,POINT (-73.82648 40.70082),JAMAICA AVENUE,123-25
Kings,BROOKLYN,NY,11221,POINT (-73.92613 40.69182),BROADWAY,1225
Jefferson,CLAYTON,NY,13624,POINT (-76.04932 44.24908),NYS RT 12,40164
Suffolk,SOUTHAMPTON,NY,11968,POINT (-72.41184 40.91922),NORTH SEA ROAD,1282
Queens,EAST ELMHURST,NY,11369,POINT (-73.8761 40.76306),20 ASTORIA BLVD,93-04
Erie,BUFFALO,NY,14208,POINT (-78.854 42.91922),JEFFERSON AVE,1614-1616
Dutchess,HOPEWELL JUNCTION,NY,12533,POINT (-73.78271 41.55538),ROUTE 52,2612
Erie,BUFFALO,NY,14211,POINT (-78.82017 42.91006),GENESEE ST,1635
Erie,BUFFALO,NY,14218,POINT (-78.848 42.81986),HAMBURG TPKE,2368
Bronx,BRONX,NY,10466,POINT (-73.85716 40.89377),WHITE PLAINS RD,4206
