id,licenseNumber,operationType,establishmentType,entityName,squareFootage,dbaName,streetNumber,nysMunicipalBoundaries
00000000-0000-0000-F3CA-DAD1E98512DF,540140,Store,A,DOLGEN NEW YORK LLC,6100,DOLLAR GENERAL 9109,3906,626
00000000-0000-0000-EF13-E0BBC1BF03AF,710066,Store,JAC,BOLLA OPERATING CORP,1200,KINGS HAMILTON AVE MOBI,375,894
00000000-0000-0000-398D-902D9D1BAA68,390201,Store,JAC,LAM KAM PAN,1000,KP FOOD MART,27,530
00000000-0000-0000-E20F-768D1855F008,707722,Store,JAC,MALCHO'S 480 PLANK ROAD LLC,1500,MALCHO'S 480 PLANK RD,480,541
00000000-0000-0000-F4B2-2CC1C6AA5A4A,616603,Store,JABCD,MALKO KARKANNI BROS INC,1800,MALKO KARKANNI BROS,174,894
00000000-0000-0000-A514-0F271B57CAC9,737911,Store,JAC,ITO INC,50,KIKKA AT WHOLE FOODS CO,120,1014
00000000-0000-0000-2A0C-31C9A0C76FC9,638538,Store,JAC,JEEWANI INC,2000,SAI ORGANICS,30-21,196
00000000-0000-0000-CFC1-ED49093E2157,755178,Store,JAC,COLUMBIA CONVENIENCE MART CORP,1200,COLUMBIA CONVENIENCE MA,2207,307
00000000-0000-0000-EE46-23CE6C9B5F2A,720573,Store,A,STAR DISCOUNTS INC,1500,STAR DISCOUNTS,66,307
00000000-0000-0000-CFA6-DCD6109639EF,744820,Store,JAC,409 FOOD CORP,8000,FOOD TOWN,409,894
00000000-0000-0000-9FC7-811CE0144E40,727324,Store,JAC,UNITED GROCERY FRESH FOOD INC,1000,UNITED GROCERY FRESH FO,516,894
00000000-0000-0000-1863-0AB5C89A1684,717584,Store,JAC,C B DELI GROCERY CORP,0,C B DELI GROCERY,194,894
00000000-0000-0000-B4FB-8E3FFF450ED5,619045,Store,JABC,NET COST 18TH AVENUE LLC,14000,NET COST MARKET,8671,894
00000000-0000-0000-FB1C-D6269576B5D6,479320,Store,JABC,CONSTANTOPOULOS GUY,3000,7-ELEVEN FD STR 27187A,53,1013
00000000-0000-0000-B24B-DA876D04BB79,755953,Store,JAC,DANISH FOODS INC,1000,DANISH FOODS,1364,196
00000000-0000-0000-310A-DF21625E5167,350129,Store,A,FAMILY DOLLAR STORES OF NY INC,1500,FAMILY DOLLAR 2730,368,248
00000000-0000-0000-E944-96358FA37C90,728684,Store,JAC,SAM CONVENIENCE DELI GROCERY CORP,900,SAM CONVENIENCE DELI GR,180,307
00000000-0000-0000-FD24-3863C5047297,702828,Store,JAC,BEST MARKET & DELI INC,1000,BEST MARKET & DELI,84-77,196
00000000-0000-0000-C229-3E248986C8A2,755546,Store,JAC,A1 HOLLAND DELI CORP,1200,A1 HOLLAND DELI,3400,585
00000000-0000-0000-110F-F1618E5B6103,721120,Store,A,WELCOME MARKET INC,1200,WELCOME MARKET,40-20,196
00000000-0000-0000-63CE-12599AC5E2E6,639191,Store,JAC,ELMHURST MEXICAN GROCERY CORP,1000,ELMHURST MEXICAN GROCRY,80-03,196
00000000-0000-0000-B2E2-C4BB8C5C009C,472659,Store,A,DAMIANO HERODOTUS P,1600,PINDAR VINEYARD STORE,117,1022
00000000-0000-0000-AED8-597D8C1AD772,753120,Store,JAC,BALLSTON SPA FOOD MART INC,0,BALLSTON SPA FOOD MART,253,999
00000000-0000-0000-63BC-2A781617BF6A,742189,Store,A,P & J DISCOUNT STORE INC,3000,P & J DISCOUNT STORE,900,307
00000000-0000-0000-C702-C431E27E07EB,288626,Store,JAC,POINT SUNKO CORP,1800,THE POINT SUPERMARKET,12,62
00000000-0000-0000-7B04-909AD4FEA96D,703218,Store,A,WALGREEN EASTERN CO INC,14600,WALGREENS  13751,1306,159
00000000-0000-0000-DCB2-E2DB084EDCD5,540105,Store,JAC,BODINE MARKETS LLC,1000,BODINES SOUTHEND MARKET,703,639
00000000-0000-0000-43C3-2FDB6266A74B,746920,Store,A,SION GROCERY CORP,500,SION GROCERY,22-58,196
